epoca,mse_treino,mse_validacao,gap_treino_validacao,melhoria,epocas_sem_melhoria,tempo_parede_epoca_segundos,tempo_cpu_epoca_segundos,percentual_saturacao_oculta,camada_1_magnitude_media,camada_1_media,camada_1_desvio,camada_1_menor,camada_1_maior,camada_1_delta_magnitude_media,camada_1_delta_magnitude_maxima,camada_2_magnitude_media,camada_2_media,camada_2_desvio,camada_2_menor,camada_2_maior,camada_2_delta_magnitude_media,camada_2_delta_magnitude_maxima
49,0.006083503680705539,0.006597339017144933,0.0005138353364393935,0.00012362205532455688,0,0.4096429999990505,0.40625,12.19602800400057,1.404132553538358,0.03019014971387051,2.115623186557258,-9.92504782383022,7.709844752470069,1.5293800822197253e-05,0.008595740024768393,1.3658297935756052,-0.029893670646956097,1.8296046818313276,-4.193257562251469,2.780031028510258,1.887240002522918e-05,0.0014813845423419759
50,0.005989051491939339,0.006511537048626353,0.0005224855566870147,9.445218876620066e-05,0,0.40527120000479044,0.40625,12.237462494642092,1.408380626129948,0.03048064882100128,2.127366343741677,-10.010385961640965,7.771248885832816,1.512143521205601e-05,0.008519514393127328,1.3698643084410274,-0.030760098143996162,1.8374296371802923,-4.218410672301069,2.7923681842787103,1.8727258525307467e-05,0.0014810820845467202
51,0.005904744379676618,0.0064203987159110205,0.0005156543362344022,8.430711226272043e-05,0,0.40451519999623997,0.40625,12.326046578082583,1.4122296788594522,0.030767144202566703,2.1388020253155857,-10.09450178288717,7.831682910686656,1.489702948370185e-05,0.008820290845827517,1.3737015783738757,-0.03186915008284046,1.8450449731072318,-4.243408455352267,2.8039885813101346,1.8398013852651044e-05,0.0014810846933281288
52,0.005782195402676459,0.00633218177704271,0.0005499863743662504,0.00012254897700015883,0,0.41094259999954375,0.40625,12.397485355050723,1.4163753455474548,0.031035610865833795,2.1501714036424864,-10.177157769218665,7.89098777728057,1.4764433995396207e-05,0.008632427662734397,1.377565274358126,-0.0328875920102693,1.8526775987385915,-4.268153162349001,2.8157150039097725,1.8236681742671836e-05,0.0014812500076419217
53,0.0056453343858407275,0.0062702696379156,0.0006249352520748723,0.00013686101683573187,0,0.40443050000612857,0.390625,12.507501071581654,1.420529137637864,0.03129281577777063,2.161426233688627,-10.258716577214368,7.949423984113796,1.4612803539953385e-05,0.008681172754920091,1.3814989612636746,-0.03362740024238995,1.8603275222324431,-4.292320642419402,2.827742105810099,1.792167619678977e-05,0.0014814602452787422
54,0.0055938636550942325,0.006112483086367196,0.0005186194312729632,5.147073074649507e-05,0,0.4138911000045482,0.40625,12.534647806829547,1.42488922112754,0.03154264920479199,2.172458307353307,-10.338315896579777,8.006389759707224,1.4414554813994295e-05,0.008861518718898155,1.384965563041778,-0.0358943371521842,1.8676800244897493,-4.317992274997608,2.8374290937496314,1.7708374093413636e-05,0.0014814511560847974
55,0.00547394797086581,0.00605127750008492,0.0005773295292191101,0.00011991568422842214,0,0.43305740000505466,0.4375,12.638948421203027,1.428774392409386,0.03177841194706744,2.1833353077461446,-10.41786121725039,8.063168758539673,1.4291309162160327e-05,0.008991925637388282,1.3887195903809872,-0.03685173320995989,1.8751262639535498,-4.3417828900433335,2.848774297485587,1.7461973308133398e-05,0.0014803338748000433
56,0.005419076656380271,0.005902529082438522,0.00048345242605825085,5.487131448553891e-05,0,0.43742329999804497,0.4375,12.673239034147734,1.4329157909137666,0.03201601223899916,2.194030686578232,-10.495333983199178,8.118522003822761,1.4121613480126407e-05,0.008846779629642988,1.3921093245042881,-0.03901239287501737,1.882365047567623,-4.36687454985587,2.8583048521357006,1.7311308185943542e-05,0.0014809940563462818
57,0.005299138782044951,0.005762462744264657,0.00046332396221970655,0.0001199378743353208,0,0.48686150000139605,0.484375,12.710387198171166,1.437268339580787,0.03223679868578655,2.204680183086867,-10.571202955479894,8.172658557025207,1.398665020104595e-05,0.008650648868926816,1.395561436794351,-0.0410412244330119,1.8896241618167053,-4.391603155421438,2.867943867380857,1.708923226324019e-05,0.001481307896200229
58,0.005219245947914907,0.005762235530692448,0.0005429895827775413,7.989283413004349e-05,0,0.41368990000046324,0.40625,12.780397199599944,1.4405851918900938,0.032457550202851904,2.2150716513100432,-10.648521284053386,8.227563473047882,1.38601011488337e-05,0.008866118389180158,1.399385374116588,-0.04086000953966873,1.8969361003130514,-4.413203687417873,2.880338381480683,1.692741407091672e-05,0.0014807489803774613
