geracao,mse_treino,mse_validacao,gap_treino_validacao,melhoria,geracoes_sem_melhoria,diversidade,media_genes,desvio_genes,menor_gene,maior_gene,percentual_limites,tempo_parede_geracao_segundos,tempo_cpu_geracao_segundos
69,0.00837441454162464,0.009814335375648147,0.0014399208340235073,0.0,3,1.6744694340567743,-0.3092954087113123,3.5013277519917083,-5.0,5.0,33.21621621621622,0.16258079999533948,0.15625
70,0.00837441454162464,0.009814335375648147,0.0014399208340235073,0.0,4,1.6734092697794556,-0.3008048481986883,3.4831539483646106,-5.0,5.0,32.38738738738739,0.1631097999998019,0.15625
71,0.007794699569909125,0.00870587809894212,0.0009111785290329957,0.0005797149717155147,0,1.6822162781619399,-0.28411367720731917,3.477678503349947,-5.0,5.0,32.31531531531531,0.16071219999867026,0.171875
72,0.007001750972093051,0.007917281903478469,0.0009155309313854179,0.0007929485978160735,0,1.7628602860947356,-0.2855454515182402,3.4847835142329013,-5.0,5.0,32.45945945945946,0.16851989999850048,0.171875
73,0.007001750972093051,0.007917281903478469,0.0009155309313854179,0.0,1,1.7782403321489333,-0.29542836578595083,3.4808707827583034,-5.0,5.0,32.34234234234235,0.16249560000142083,0.140625
74,0.007001750972093051,0.007917281903478469,0.0009155309313854179,0.0,2,1.7755161471367447,-0.27136270470527507,3.4702168349642903,-5.0,5.0,31.513513513513512,0.15382959999988088,0.15625
75,0.007001750972093051,0.007917281903478469,0.0009155309313854179,0.0,3,1.8582880961104653,-0.30389011146411377,3.4829768771531544,-5.0,5.0,32.027027027027025,0.16032799999811687,0.15625
76,0.007001750972093051,0.007917281903478469,0.0009155309313854179,0.0,4,1.811433305135023,-0.27548647032646667,3.481183758669253,-5.0,5.0,31.756756756756754,0.1622332000042661,0.171875
77,0.006998549674100197,0.00788647608630329,0.0008879264122030935,3.201297992853902e-06,0,1.8500966539466823,-0.24740046246270464,3.515638348670966,-5.0,5.0,32.990990990990994,0.15127770000253804,0.140625
78,0.006998549674100197,0.00788647608630329,0.0008879264122030935,0.0,1,1.8571688052854556,-0.25041144534257925,3.5188260195376397,-5.0,5.0,33.21621621621622,0.15915630000381498,0.1875
79,0.006998549674100197,0.00788647608630329,0.0008879264122030935,0.0,2,1.8981019013687144,-0.265390854466658,3.531911132494471,-5.0,5.0,33.792792792792795,0.15391180000005988,0.140625
80,0.006998549674100197,0.00788647608630329,0.0008879264122030935,0.0,3,1.8619292010511883,-0.26571626895766526,3.5103588296388177,-5.0,5.0,33.27927927927928,0.1621886000066297,0.203125
81,0.006998549674100197,0.00788647608630329,0.0008879264122030935,0.0,4,1.9400324321145541,-0.27577919484215324,3.5037615362267904,-5.0,5.0,32.513513513513516,0.15821679999498883,0.171875
82,0.006998549674100197,0.00788647608630329,0.0008879264122030935,0.0,5,1.9420915886913155,-0.2767720530538297,3.5085787502623225,-5.0,5.0,33.06306306306306,0.17419939999672351,0.171875
83,0.006998549674100197,0.00788647608630329,0.0008879264122030935,0.0,6,1.9561791067545293,-0.2554831367243689,3.49574140647677,-5.0,5.0,32.531531531531535,0.16371429999708198,0.171875
84,0.006998549674100197,0.00788647608630329,0.0008879264122030935,0.0,7,1.8375121567369779,-0.2573231379450845,3.4927379734322774,-5.0,5.0,32.567567567567565,0.15482370000245282,0.15625
85,0.006998549674100197,0.00788647608630329,0.0008879264122030935,0.0,8,1.751120981511414,-0.22817635079509827,3.491139734622272,-5.0,5.0,32.92792792792793,0.16645530000096187,0.171875
86,0.006998549674100197,0.00788647608630329,0.0008879264122030935,0.0,9,1.6328407344415345,-0.22289559635637218,3.481703395514981,-5.0,5.0,32.81981981981982,0.15905530000600265,0.15625
87,0.006998549674100197,0.00788647608630329,0.0008879264122030935,0.0,10,1.495710122943301,-0.19876840579096333,3.4789363769803607,-5.0,5.0,32.62162162162162,0.15881899999658344,0.15625
